contact_key,contact_channel,contact_month,month_sort,contact_weekday,weekday_sort,campaign_contact_band,contact_intensity_band
1,telephone,may,3,mon,1,1 contact,low
2,telephone,may,3,mon,1,2 contacts,moderate
3,telephone,may,3,mon,1,3-4 contacts,moderate
4,telephone,may,3,mon,1,3-4 contacts,high
5,telephone,may,3,mon,1,5+ contacts,high
6,telephone,may,3,tue,2,3-4 contacts,moderate
7,telephone,may,3,tue,2,2 contacts,moderate
8,telephone,may,3,tue,2,1 contact,low
9,telephone,may,3,tue,2,3-4 contacts,high
10,telephone,may,3,tue,2,5+ contacts,high
11,telephone,may,3,wed,3,3-4 contacts,moderate
12,telephone,may,3,wed,3,3-4 contacts,high
13,telephone,may,3,wed,3,2 contacts,moderate
14,telephone,may,3,wed,3,1 contact,low
15,telephone,may,3,wed,3,5+ contacts,high
16,telephone,may,3,wed,3,5+ contacts,very high
17,telephone,may,3,thu,4,3-4 contacts,moderate
18,telephone,may,3,thu,4,2 contacts,moderate
19,telephone,may,3,thu,4,5+ contacts,high
20,telephone,may,3,thu,4,1 contact,low
21,telephone,may,3,thu,4,5+ contacts,very high
22,telephone,may,3,thu,4,3-4 contacts,high
23,telephone,may,3,fri,5,2 contacts,moderate
24,telephone,may,3,fri,5,3-4 contacts,high
25,telephone,may,3,fri,5,5+ contacts,high
26,telephone,may,3,fri,5,1 contact,low
27,telephone,may,3,fri,5,3-4 contacts,moderate
28,telephone,may,3,fri,5,5+ contacts,very high
29,telephone,may,3,mon,1,5+ contacts,very high
30,telephone,may,3,tue,2,5+ contacts,very high
31,telephone,jun,4,mon,1,3-4 contacts,moderate
32,telephone,jun,4,mon,1,5+ contacts,very high
33,telephone,jun,4,mon,1,2 contacts,moderate
34,telephone,jun,4,mon,1,3-4 contacts,high
35,telephone,jun,4,mon,1,1 contact,low
36,telephone,jun,4,mon,1,5+ contacts,high
37,telephone,jun,4,tue,2,5+ contacts,high
38,telephone,jun,4,tue,2,5+ contacts,very high
39,telephone,jun,4,tue,2,2 contacts,moderate
40,telephone,jun,4,tue,2,3-4 contacts,moderate
41,telephone,jun,4,tue,2,1 contact,low
42,telephone,jun,4,tue,2,3-4 contacts,high
43,telephone,jun,4,wed,3,5+ contacts,very high
44,telephone,jun,4,wed,3,5+ contacts,high
45,telephone,jun,4,wed,3,1 contact,low
46,telephone,jun,4,wed,3,3-4 contacts,moderate
47,telephone,jun,4,wed,3,2 contacts,moderate
48,telephone,jun,4,wed,3,3-4 contacts,high
49,telephone,jun,4,thu,4,3-4 contacts,moderate
50,telephone,jun,4,thu,4,1 contact,low
51,telephone,jun,4,thu,4,5+ contacts,very high
52,telephone,jun,4,thu,4,2 contacts,moderate
53,telephone,jun,4,thu,4,5+ contacts,high
54,telephone,jun,4,thu,4,3-4 contacts,high
55,telephone,jun,4,fri,5,3-4 contacts,high
56,telephone,jun,4,fri,5,1 contact,low
57,telephone,jun,4,fri,5,2 contacts,moderate
58,telephone,jun,4,fri,5,5+ contacts,very high
59,telephone,jun,4,fri,5,3-4 contacts,moderate
60,telephone,jun,4,fri,5,5+ contacts,high
61,telephone,jul,5,tue,2,3-4 contacts,high
62,telephone,jul,5,tue,2,2 contacts,moderate
63,telephone,jul,5,tue,2,5+ contacts,very high
64,telephone,jul,5,tue,2,3-4 contacts,moderate
65,telephone,jul,5,tue,2,1 contact,low
66,telephone,jul,5,tue,2,5+ contacts,high
67,telephone,jul,5,wed,3,3-4 contacts,moderate
68,telephone,jul,5,wed,3,3-4 contacts,high
69,telephone,jul,5,wed,3,5+ contacts,very high
70,telephone,jul,5,wed,3,2 contacts,moderate
71,telephone,jul,5,wed,3,5+ contacts,high
72,telephone,jul,5,wed,3,1 contact,low
73,telephone,jul,5,thu,4,2 contacts,moderate
74,telephone,jul,5,thu,4,3-4 contacts,moderate
75,telephone,jul,5,thu,4,1 contact,low
76,telephone,jul,5,thu,4,5+ contacts,very high
77,telephone,jul,5,thu,4,3-4 contacts,high
78,telephone,jul,5,thu,4,5+ contacts,high
79,telephone,jul,5,fri,5,2 contacts,moderate
80,telephone,jul,5,fri,5,1 contact,low
81,telephone,jul,5,fri,5,3-4 contacts,moderate
82,telephone,jul,5,fri,5,5+ contacts,very high
83,telephone,jul,5,fri,5,3-4 contacts,high
