customer_profile_key,age,age_band,job,marital,education,education_group,default_status,housing_status,loan_status,housing_loan_profile,personal_loan_profile,credit_exposure_profile
1,56,50-59,housemaid,married,basic.4y,foundational,no,no,no,no housing loan,no personal loan,no reported loan exposure
2,57,50-59,services,married,high.school,secondary,unknown,no,no,no housing loan,no personal loan,exposure unknown
3,37,30-39,services,married,high.school,secondary,no,yes,no,housing loan,no personal loan,single loan exposure
4,40,40-49,admin.,married,basic.6y,foundational,no,no,no,no housing loan,no personal loan,no reported loan exposure
5,56,50-59,services,married,high.school,secondary,no,no,yes,no housing loan,personal loan,single loan exposure
6,45,40-49,services,married,basic.9y,foundational,unknown,no,no,no housing loan,no personal loan,exposure unknown
7,59,50-59,admin.,married,professional.course,professional,no,no,no,no housing loan,no personal loan,no reported loan exposure
8,41,40-49,blue-collar,married,unknown,unknown,unknown,no,no,no housing loan,no personal loan,exposure unknown
9,24,17-29,technician,single,professional.course,professional,no,yes,no,housing loan,no personal loan,single loan exposure
10,25,17-29,services,single,high.school,secondary,no,yes,no,housing loan,no personal loan,single loan exposure
11,29,17-29,blue-collar,single,high.school,secondary,no,no,yes,no housing loan,personal loan,single loan exposure
12,57,50-59,housemaid,divorced,basic.4y,foundational,no,yes,no,housing loan,no personal loan,single loan exposure
13,35,30-39,blue-collar,married,basic.6y,foundational,no,yes,no,housing loan,no personal loan,single loan exposure
14,54,50-59,retired,married,basic.9y,foundational,unknown,yes,yes,housing loan,personal loan,housing + personal loan
15,46,40-49,blue-collar,married,basic.6y,foundational,unknown,yes,yes,housing loan,personal loan,housing + personal loan
16,50,50-59,blue-collar,married,basic.9y,foundational,no,yes,yes,housing loan,personal loan,housing + personal loan
17,39,30-39,management,single,basic.9y,foundational,unknown,no,no,no housing loan,no personal loan,exposure unknown
18,30,30-39,unemployed,married,high.school,secondary,no,no,no,no housing loan,no personal loan,no reported loan exposure
19,55,50-59,blue-collar,married,basic.4y,foundational,unknown,yes,no,housing loan,no personal loan,single loan exposure
20,55,50-59,retired,single,high.school,secondary,no,yes,no,housing loan,no personal loan,single loan exposure
21,41,40-49,technician,single,high.school,secondary,no,yes,no,housing loan,no personal loan,single loan exposure
22,37,30-39,admin.,married,high.school,secondary,no,yes,no,housing loan,no personal loan,single loan exposure
23,35,30-39,technician,married,university.degree,tertiary,no,no,yes,no housing loan,personal loan,single loan exposure
24,59,50-59,technician,married,unknown,unknown,no,yes,no,housing loan,no personal loan,single loan exposure
25,39,30-39,self-employed,married,basic.9y,foundational,unknown,no,no,no housing loan,no personal loan,exposure unknown
26,54,50-59,technician,single,university.degree,tertiary,unknown,no,no,no housing loan,no personal loan,exposure unknown
27,55,50-59,unknown,married,university.degree,tertiary,unknown,unknown,unknown,unknown,unknown,exposure unknown
28,46,40-49,admin.,married,unknown,unknown,no,no,no,no housing loan,no personal loan,no reported loan exposure
29,49,40-49,blue-collar,married,unknown,unknown,no,no,no,no housing loan,no personal loan,no reported loan exposure
30,54,50-59,management,married,basic.4y,foundational,unknown,yes,no,housing loan,no personal loan,single loan exposure
31,54,50-59,blue-collar,divorced,basic.4y,foundational,no,no,no,no housing loan,no personal loan,no reported loan exposure
32,55,50-59,unknown,married,basic.4y,foundational,unknown,yes,no,housing loan,no personal loan,single loan exposure
33,34,30-39,services,married,high.school,secondary,no,no,no,no housing loan,no personal loan,no reported loan exposure
34,52,50-59,technician,married,basic.9y,foundational,no,yes,no,housing loan,no personal loan,single loan exposure
