economic_context_key,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,macroeconomic_regime
1,1.1,93.994,-36.4,4.857,5191.0,expansion / high rate
2,1.1,93.994,-36.4,4.856,5191.0,expansion / high rate
3,1.1,93.994,-36.4,4.855,5191.0,expansion / high rate
4,1.1,93.994,-36.4,4.859,5191.0,expansion / high rate
5,1.1,93.994,-36.4,4.86,5191.0,expansion / high rate
6,1.1,93.994,-36.4,4.858,5191.0,expansion / high rate
7,1.1,93.994,-36.4,4.864,5191.0,expansion / high rate
8,1.4,94.465,-41.8,4.865,5228.1,expansion / high rate
9,1.4,94.465,-41.8,4.864,5228.1,expansion / high rate
10,1.4,94.465,-41.8,4.866,5228.1,expansion / high rate
11,1.4,94.465,-41.8,4.967,5228.1,expansion / high rate
12,1.4,94.465,-41.8,4.961,5228.1,expansion / high rate
13,1.4,94.465,-41.8,4.959,5228.1,expansion / high rate
14,1.4,94.465,-41.8,4.958,5228.1,expansion / high rate
15,1.4,94.465,-41.8,4.96,5228.1,expansion / high rate
16,1.4,94.465,-41.8,4.962,5228.1,expansion / high rate
17,1.4,94.465,-41.8,4.955,5228.1,expansion / high rate
18,1.4,94.465,-41.8,4.947,5228.1,expansion / high rate
19,1.4,93.918,-42.7,4.955,5228.1,expansion / high rate
20,1.4,93.918,-42.7,4.956,5228.1,expansion / high rate
21,1.4,93.918,-42.7,4.966,5228.1,expansion / high rate
22,1.4,93.918,-42.7,4.959,5228.1,expansion / high rate
23,1.4,93.918,-42.7,4.96,5228.1,expansion / high rate
24,1.4,93.918,-42.7,4.962,5228.1,expansion / high rate
25,1.4,93.918,-42.7,4.963,5228.1,expansion / high rate
26,1.4,93.918,-42.7,4.961,5228.1,expansion / high rate
27,1.4,93.918,-42.7,4.957,5228.1,expansion / high rate
28,1.4,93.918,-42.7,4.958,5228.1,expansion / high rate
29,1.4,93.918,-42.7,4.968,5228.1,expansion / high rate
30,1.4,93.444,-36.1,4.97,5228.1,expansion / high rate
31,1.4,93.444,-36.1,4.968,5228.1,expansion / high rate
32,1.4,93.444,-36.1,4.967,5228.1,expansion / high rate
33,1.4,93.444,-36.1,4.966,5228.1,expansion / high rate
34,1.4,93.444,-36.1,4.965,5228.1,expansion / high rate
35,1.4,93.444,-36.1,4.964,5228.1,expansion / high rate
36,1.4,93.444,-36.1,4.963,5228.1,expansion / high rate
37,1.4,93.444,-36.1,4.962,5228.1,expansion / high rate
38,-0.1,93.798,-40.4,5.045,5195.8,contraction / elevated rate
39,-0.1,93.798,-40.4,5.0,5195.8,contraction / elevated rate
40,-0.1,93.798,-40.4,4.968,5195.8,contraction / elevated rate
41,-0.1,93.798,-40.4,4.936,5195.8,contraction / elevated rate
42,-0.1,93.798,-40.4,4.921,5195.8,contraction / elevated rate
43,-0.1,93.798,-40.4,4.918,5195.8,contraction / elevated rate
44,-0.1,93.798,-40.4,4.912,5195.8,contraction / elevated rate
45,-0.1,93.798,-40.4,4.86,5195.8,contraction / elevated rate
46,-0.1,93.798,-40.4,4.827,5195.8,contraction / elevated rate
47,-0.1,93.798,-40.4,4.794,5195.8,contraction / elevated rate
48,-0.1,93.798,-40.4,4.76,5195.8,contraction / elevated rate
49,-0.1,93.2,-42.0,4.733,5195.8,contraction / elevated rate
50,-0.1,93.2,-42.0,4.7,5195.8,contraction / elevated rate
51,-0.1,93.2,-42.0,4.663,5195.8,contraction / elevated rate
52,-0.1,93.2,-42.0,4.592,5195.8,contraction / elevated rate
53,-0.1,93.2,-42.0,4.474,5195.8,contraction / elevated rate
54,-0.1,93.2,-42.0,4.406,5195.8,contraction / elevated rate
55,-0.1,93.2,-42.0,4.343,5195.8,contraction / elevated rate
56,-0.1,93.2,-42.0,4.286,5195.8,contraction / elevated rate
57,-0.1,93.2,-42.0,4.245,5195.8,contraction / elevated rate
58,-0.1,93.2,-42.0,4.223,5195.8,contraction / elevated rate
59,-0.1,93.2,-42.0,4.191,5195.8,contraction / elevated rate
60,-0.1,93.2,-42.0,4.153,5195.8,contraction / elevated rate
61,-0.1,93.2,-42.0,4.12,5195.8,contraction / elevated rate
62,-0.1,93.2,-42.0,4.076,5195.8,contraction / elevated rate
63,-0.1,93.2,-42.0,4.021,5195.8,contraction / elevated rate
64,-0.1,93.2,-42.0,3.901,5195.8,contraction / elevated rate
65,-0.1,93.2,-42.0,3.879,5195.8,contraction / elevated rate
66,-0.1,93.2,-42.0,3.853,5195.8,contraction / elevated rate
67,-0.2,92.756,-45.9,3.816,5176.3,contraction / elevated rate
68,-0.2,92.756,-45.9,3.743,5176.3,contraction / elevated rate
