dimension,member,observations,positives,base_rate,average_score,predicted_positive_rate,precision,recall,brier_score,minimum_volume_pass
age_band,30-39,3452,360,0.10428736964078796,0.10058059695047901,0.14484356894553882,0.398,0.5527777777777778,0.07466703568555888,True
age_band,40-49,2096,162,0.07729007633587787,0.08651440485871192,0.10353053435114504,0.3870967741935484,0.5185185185185185,0.056109999606998084,True
age_band,50-59,1351,143,0.10584752035529238,0.09617344431180427,0.12805329385640266,0.4797687861271676,0.5804195804195804,0.07031551386009091,True
age_band,17-29,1095,167,0.15251141552511416,0.15283729664288595,0.27031963470319637,0.4155405405405405,0.7365269461077845,0.09452138210172799,True
age_band,60+,244,96,0.39344262295081966,0.399370796109745,0.8155737704918032,0.4623115577889447,0.9583333333333334,0.19170023580463835,True
contact,cellular,5236,779,0.14877769289533996,0.14537848936734593,0.23605805958747136,0.4336569579288026,0.6880616174582799,0.09446223769425546,True
contact,telephone,3002,149,0.04963357761492338,0.05398743513306992,0.04963357761492338,0.30201342281879195,0.30201342281879195,0.04198031977295215,True
education_group,foundational,2502,221,0.08832933653077538,0.09317781138566522,0.11310951239008793,0.3992932862190813,0.5113122171945701,0.062244067892626036,True
education_group,tertiary,2432,325,0.13363486842105263,0.13051315735420702,0.22203947368421054,0.4185185185185185,0.6953846153846154,0.0896932555594585,True
education_group,secondary,1919,216,0.11255862428348098,0.11078655502609645,0.16102136529442418,0.4401294498381877,0.6296296296296297,0.07305427769649228,True
education_group,professional,1051,122,0.11607992388201713,0.10990100043073013,0.16460513796384396,0.42196531791907516,0.5983606557377049,0.07763930060272455,True
education_group,unknown,334,44,0.1317365269461078,0.13361621939148777,0.23952095808383234,0.4125,0.75,0.07476190809742003,True
job,admin.,2108,282,0.13377609108159394,0.1249379100446843,0.19924098671726756,0.4785714285714286,0.7127659574468085,0.08476947356599748,True
job,blue-collar,1813,123,0.06784335355763928,0.07340209625917722,0.06894649751792609,0.28,0.2845528455284553,0.0565843627358822,True
job,technician,1343,145,0.10796723752792256,0.10553158195338846,0.1533879374534624,0.41262135922330095,0.5862068965517241,0.07307405498647375,True
job,services,773,69,0.08926261319534282,0.08886869269419581,0.1203104786545925,0.34408602150537637,0.463768115942029,0.066734546517846,True
job,management,579,59,0.10189982728842832,0.1071754943346996,0.16234887737478412,0.39361702127659576,0.6271186440677966,0.0697119082510546,True
job,retired,354,86,0.24293785310734464,0.2601837962357864,0.4915254237288136,0.4367816091954023,0.8837209302325582,0.1300901537910978,True
job,self-employed,322,30,0.09316770186335403,0.09752034958120666,0.15838509316770186,0.3333333333333333,0.5666666666666667,0.07114332569482293,True
job,entrepreneur,296,24,0.08108108108108109,0.08267044144723898,0.09121621621621621,0.37037037037037035,0.4166666666666667,0.06337798142031503,True
job,unemployed,216,28,0.12962962962962962,0.12241565865752549,0.2222222222222222,0.3958333333333333,0.6785714285714286,0.08661748018897579,True
job,housemaid,205,20,0.0975609756097561,0.11283577480860761,0.16097560975609757,0.5151515151515151,0.85,0.053173782568988234,True
job,student,164,58,0.35365853658536583,0.301120310400488,0.6158536585365854,0.48514851485148514,0.8448275862068966,0.17197099901041152,True
job,unknown,65,4,0.06153846153846154,0.11403071317756154,0.2,0.23076923076923078,0.75,0.057339209606050504,False
marital,married,4975,512,0.10291457286432161,0.10346632926881029,0.14894472361809044,0.4224021592442645,0.611328125,0.06868555039102874,True
marital,single,2311,310,0.13414106447425356,0.13332308112444374,0.22241453916053655,0.41050583657587547,0.6806451612903226,0.08896934542281824,True
marital,divorced,937,105,0.11205976520811099,0.10513324516241793,0.13553895410885805,0.44881889763779526,0.5428571428571428,0.07644823201149167,True
marital,unknown,15,1,0.06666666666666667,0.1271714192528715,0.2,0.0,0.0,0.11189551088368996,False
poutcome,nonexistent,7147,640,0.0895480621239681,0.08818539598638994,0.12354834196166224,0.3669309173272933,0.50625,0.06819061520891453,True
poutcome,failure,823,111,0.13487241798298907,0.15297928166511535,0.29526123936816523,0.3333333333333333,0.7297297297297297,0.0988530013678558,True
poutcome,success,268,177,0.6604477611940298,0.6235413308648522,0.9664179104477612,0.6795366795366795,0.9943502824858758,0.19371212500621787,True
